name,t_optimal_min,t_optimal_max,h_optimal_min,h_optimal_max,t_begin_min,t_begin_max,h_begin_min,h_begin_max
Милдью или ложная мучнистая роса,11,25,85,100,22,25,95,100
Оидиум,5,20,60,80,25,35,60,80
Антракноз,10,15,70,80,24,30,70,80
Серая гниль,25,30,100,100,12,12,95,95
Чёрная пятнистость (экскориоз или сухорукавчатость или фомопсис),18,20,80,90,15,15,80,90
Черная гниль,20,25,95,100,,,,
Белая гниль,20,27,90,100,14,14,90,100
Вертициллезное увядание (гниль),21,24,50,60,,,,
Альтернариоз,23,25,80,90,11,15,80,90
Фузариоз,13,20,80,90,1,1,40,80
Краснуха,18,20,90,100,11,11,80,90
Бактериальный рак,25,30,95,95,,,,
